CallChannel,NbCall,SourceID,FiscalYear,ProductName_Level2
Face to Face,1,0011i000001xn5hAAA,2020/2021,Diamicron MR
Face to Face,1,0011i000001xn5oAAA,2020/2021,Coversyl Family
Face to Face,1,0011i000001xn5oAAA,2020/2021,Natrilix Family
Face to Face,1,0011i000001xn64AAA,2020/2021,Daflon 500
Face to Face,1,0011i000001xn65AAA,2020/2021,Daflon 500
Face to Face,1,0011i000001xn6EAAQ,2020/2021,Daflon 500
Face to Face,1,0011i000001xn7GAAQ,2020/2021,Coveram
Face to Face,1,0011i000001xn7GAAQ,2020/2021,Coversyl
Face to Face,1,0011i000001xn7GAAQ,2020/2021,Triplixam
Face to Face,1,0011i000001xn7GAAQ,2020/2021,Vastarel MR
Face to Face,1,0011i000001xn7jAAA,2019/2020,Coveram
Face to Face,1,0011i000001xn7jAAA,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xn7jAAA,2019/2020,Triplixam
Face to Face,1,0011i000001xn7jAAA,2020/2021,Diamicron MR
Face to Face,1,0011i000001xn7jAAA,2020/2021,NatSR/Natrixam
Face to Face,1,0011i000001xn7lAAA,2019/2020,Diamicron MR
Face to Face,1,0011i000001xn7lAAA,2020/2021,Vastarel MR
Face to Face,1,0011i000001xn7OAAQ,2020/2021,Coversyl Family
Face to Face,1,0011i000001xn7OAAQ,2020/2021,Natrilix Family
Face to Face,1,0011i000001xn7qAAA,2019/2020,Daflon 500
Face to Face,1,0011i000001xn7qAAA,2019/2020,Diamicron MR
Face to Face,1,0011i000001xn7qAAA,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xn7qAAA,2019/2020,Vastarel MR
Face to Face,1,0011i000001xn7rAAA,2020/2021,Cosyrel
Face to Face,1,0011i000001xn7rAAA,2020/2021,Coveram
Face to Face,1,0011i000001xn7rAAA,2020/2021,Natrilix Family
Face to Face,1,0011i000001xn7rAAA,2020/2021,Triplixam
Face to Face,1,0011i000001xn7sAAA,2019/2020,Coveram
Face to Face,1,0011i000001xn7sAAA,2019/2020,Triplixam
Face to Face,1,0011i000001xn7sAAA,2020/2021,Daflon 500
Face to Face,1,0011i000001xn7sAAA,2020/2021,Diamicron MR
Face to Face,1,0011i000001xn7VAAQ,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xn7wAAA,2019/2020,Cedraflon
Face to Face,1,0011i000001xn7wAAA,2019/2020,Diamicron MR
Face to Face,1,0011i000001xn7zAAA,2019/2020,Cosyrel
Face to Face,1,0011i000001xn7zAAA,2019/2020,Vastarel MR
Face to Face,1,0011i000001xn8EAAQ,2020/2021,Daflon 1000
Face to Face,1,0011i000001xn8EAAQ,2020/2021,Diamicron MR
Face to Face,1,0011i000001xn8iAAA,2019/2020,Daflon 500
Face to Face,1,0011i000001xn8jAAA,2020/2021,Coversyl
Face to Face,1,0011i000001xn8jAAA,2020/2021,Natrilix Family
Face to Face,1,0011i000001xn8jAAA,2020/2021,Triplixam
Face to Face,1,0011i000001xn8LAAQ,2019/2020,Cosyrel
Face to Face,1,0011i000001xn8LAAQ,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xn8LAAQ,2020/2021,Diamicron MR
Face to Face,1,0011i000001xn8mAAA,2019/2020,Daflon 1000
Face to Face,1,0011i000001xn8mAAA,2020/2021,Daflon 1000
Face to Face,1,0011i000001xn8MAAQ,2019/2020,Arcalion
Face to Face,1,0011i000001xn8qAAA,2019/2020,Coversyl
Face to Face,1,0011i000001xn8qAAA,2019/2020,Natrixam
Face to Face,1,0011i000001xn8uAAA,2019/2020,Valdoxan
Face to Face,1,0011i000001xn8yAAA,2019/2020,Cedraflon
Face to Face,1,0011i000001xn8yAAA,2019/2020,Daflon 1000
Face to Face,1,0011i000001xn90AAA,2019/2020,Cosyrel
Face to Face,1,0011i000001xn90AAA,2019/2020,Coveram
Face to Face,1,0011i000001xn90AAA,2019/2020,Coversyl
Face to Face,1,0011i000001xn94AAA,2020/2021,Diamicron MR
Face to Face,1,0011i000001xn99AAA,2019/2020,Daflon 500
Face to Face,1,0011i000001xn9bAAA,2019/2020,Coveram
Face to Face,1,0011i000001xn9bAAA,2019/2020,Coversyl
Face to Face,1,0011i000001xn9CAAQ,2019/2020,Cosyrel
Face to Face,1,0011i000001xn9CAAQ,2019/2020,Coversyl Plus
Face to Face,1,0011i000001xn9CAAQ,2019/2020,Daflon 500
Face to Face,1,0011i000001xn9CAAQ,2019/2020,Vastarel MR
Face to Face,1,0011i000001xn9DAAQ,2019/2020,Daflon 1000
Face to Face,1,0011i000001xn9DAAQ,2019/2020,Daflon 500
Face to Face,1,0011i000001xn9eAAA,2020/2021,Daflon 1000
Face to Face,1,0011i000001xn9HAAQ,2020/2021,Daflon 500
Face to Face,1,0011i000001xn9JAAQ,2019/2020,Cedraflon
Face to Face,1,0011i000001xn9JAAQ,2019/2020,Coversyl Plus
Face to Face,1,0011i000001xn9JAAQ,2019/2020,Daflon 500
Face to Face,1,0011i000001xn9JAAQ,2019/2020,Diamicron MR
Face to Face,1,0011i000001xn9MAAQ,2019/2020,Daflon 500
Face to Face,1,0011i000001xn9MAAQ,2020/2021,Coveram
Face to Face,1,0011i000001xn9MAAQ,2020/2021,Coversyl
Face to Face,1,0011i000001xn9MAAQ,2020/2021,Triplixam
Face to Face,1,0011i000001xn9nAAA,2019/2020,Daflon 500
Face to Face,1,0011i000001xn9nAAA,2019/2020,Diamicron MR
Face to Face,1,0011i000001xn9pAAA,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xn9SAAQ,2019/2020,Coveram
Face to Face,1,0011i000001xn9SAAQ,2019/2020,Coversyl
Face to Face,1,0011i000001xn9UAAQ,2019/2020,Cosyrel
Face to Face,1,0011i000001xn9UAAQ,2019/2020,Daflon 500
Face to Face,1,0011i000001xn9UAAQ,2020/2021,Cosyrel
Face to Face,1,0011i000001xn9UAAQ,2020/2021,Coveram
Face to Face,1,0011i000001xn9UAAQ,2020/2021,Coversyl
Face to Face,1,0011i000001xn9UAAQ,2020/2021,Triplixam
Face to Face,1,0011i000001xna0AAA,2019/2020,Daflon 500
Face to Face,1,0011i000001xna2AAA,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnAaAAI,2019/2020,Coveram
Face to Face,1,0011i000001xnAaAAI,2019/2020,Daflon 500
Face to Face,1,0011i000001xnAaAAI,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnAaAAI,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xnAaAAI,2019/2020,Triplixam
Face to Face,1,0011i000001xnAaAAI,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnAAAAY,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnAbAAI,2019/2020,Vastarel XR 80
Face to Face,1,0011i000001xnAbAAI,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnAdAAI,2020/2021,Valdoxan
Face to Face,1,0011i000001xnAfAAI,2020/2021,Daflon 1000
Face to Face,1,0011i000001xnAfAAI,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnaGAAQ,2019/2020,Coveram
Face to Face,1,0011i000001xnaGAAQ,2020/2021,Cosyrel
Face to Face,1,0011i000001xnaGAAQ,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xnAhAAI,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnAhAAI,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnAIAAY,2019/2020,Coveram
Face to Face,1,0011i000001xnAIAAY,2019/2020,Coversyl
Face to Face,1,0011i000001xnAIAAY,2020/2021,Daflon 1000
Face to Face,1,0011i000001xnAIAAY,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnAjAAI,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xnAKAAY,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xnAlAAI,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnaMAAQ,2019/2020,Cedraflon
Face to Face,1,0011i000001xnaMAAQ,2019/2020,Cosyrel
Face to Face,1,0011i000001xnaMAAQ,2019/2020,Coversyl Plus
Face to Face,1,0011i000001xnaMAAQ,2019/2020,Daflon 500
Face to Face,1,0011i000001xnaMAAQ,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnaMAAQ,2019/2020,Vastarel MR
Face to Face,1,0011i000001xnaMAAQ,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnaMAAQ,2020/2021,Daflon 1000
Face to Face,1,0011i000001xnaMAAQ,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnAMAAY,2019/2020,Vastarel XR 80
Face to Face,1,0011i000001xnAnAAI,2019/2020,Daflon 500
Face to Face,1,0011i000001xnAnAAI,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xnAnAAI,2019/2020,Triplixam
Face to Face,1,0011i000001xnAoAAI,2020/2021,Daflon 1000
Face to Face,1,0011i000001xnAoAAI,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnApAAI,2019/2020,Cedraflon
Face to Face,1,0011i000001xnApAAI,2020/2021,Triplixam
Face to Face,1,0011i000001xnarAAA,2019/2020,Cosyrel
Face to Face,1,0011i000001xnASAAY,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnASAAY,2019/2020,Vastarel XR 80
Face to Face,1,0011i000001xnAtAAI,2019/2020,Daflon 1000
Face to Face,1,0011i000001xnAtAAI,2019/2020,Triplixam
Face to Face,1,0011i000001xnAVAAY,2019/2020,Cosyrel
Face to Face,1,0011i000001xnAVAAY,2019/2020,Vastarel XR 80
Face to Face,1,0011i000001xnAWAAY,2020/2021,Daflon 1000
Face to Face,1,0011i000001xnAxAAI,2019/2020,Daflon 1000
Face to Face,1,0011i000001xnAxAAI,2020/2021,Daflon 1000
Face to Face,1,0011i000001xnAxAAI,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnAyAAI,2019/2020,Daflon 1000
Face to Face,1,0011i000001xnAyAAI,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnAYAAY,2019/2020,Daflon 500
Face to Face,1,0011i000001xnAYAAY,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnAYAAY,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnAYAAY,2020/2021,NatSR/Natrixam
Face to Face,1,0011i000001xnazAAA,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnAZAAY,2019/2020,Daflon 1000
Face to Face,1,0011i000001xnAZAAY,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnB0AAI,2019/2020,Daflon 1000
Face to Face,1,0011i000001xnB2AAI,2019/2020,Daflon 500
Face to Face,1,0011i000001xnB2AAI,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnB2AAI,2020/2021,Daflon 500
Face to Face,1,0011i000001xnB2AAI,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnb8AAA,2019/2020,Daflon 500
Face to Face,1,0011i000001xnb8AAA,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnb8AAA,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xnB9AAI,2019/2020,Cosyrel
Face to Face,1,0011i000001xnB9AAI,2019/2020,Coveram
Face to Face,1,0011i000001xnB9AAI,2019/2020,Coversyl
Face to Face,1,0011i000001xnB9AAI,2019/2020,Triplixam
Face to Face,1,0011i000001xnB9AAI,2019/2020,Vastarel MR
Face to Face,1,0011i000001xnB9AAI,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnbbAAA,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnBcAAI,2019/2020,Coversyl
Face to Face,1,0011i000001xnBhAAI,2019/2020,Natrixam
Face to Face,1,0011i000001xnBhAAI,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xnBIAAY,2020/2021,Daflon 1000
Face to Face,1,0011i000001xnblAAA,2019/2020,Cedraflon
Face to Face,1,0011i000001xnblAAA,2019/2020,Daflon 1000
Face to Face,1,0011i000001xnblAAA,2019/2020,Daflon 500
Face to Face,1,0011i000001xnblAAA,2019/2020,Natrixam
Face to Face,1,0011i000001xnblAAA,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xnblAAA,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnblAAA,2020/2021,Daflon 1000
Face to Face,1,0011i000001xnblAAA,2020/2021,NatSR/Natrixam
Face to Face,1,0011i000001xnBmAAI,2019/2020,Coveram
Face to Face,1,0011i000001xnBmAAI,2019/2020,Coversyl
Face to Face,1,0011i000001xnBmAAI,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnBmAAI,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xnBmAAI,2020/2021,Coveram
Face to Face,1,0011i000001xnBmAAI,2020/2021,Coversyl
Face to Face,1,0011i000001xnBmAAI,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnBmAAI,2020/2021,NatSR/Natrixam
Face to Face,1,0011i000001xnBmAAI,2020/2021,Triplixam
Face to Face,1,0011i000001xnBnAAI,2019/2020,Coversyl
Face to Face,1,0011i000001xnBnAAI,2019/2020,Natrixam
Face to Face,1,0011i000001xnBOAAY,2019/2020,Cosyrel
Face to Face,1,0011i000001xnBOAAY,2019/2020,Natrixam
Face to Face,1,0011i000001xnBOAAY,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xnBOAAY,2019/2020,Vastarel MR
Face to Face,1,0011i000001xnBOAAY,2020/2021,Coveram
Face to Face,1,0011i000001xnBOAAY,2020/2021,Coversyl
Face to Face,1,0011i000001xnBOAAY,2020/2021,Triplixam
Face to Face,1,0011i000001xnBOAAY,2020/2021,Valdoxan
Face to Face,1,0011i000001xnBOAAY,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xnbPAAQ,2019/2020,Coveram
Face to Face,1,0011i000001xnbPAAQ,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnBPAAY,2019/2020,Cedraflon
Face to Face,1,0011i000001xnBPAAY,2019/2020,Natrixam
Face to Face,1,0011i000001xnbsAAA,2019/2020,Cosyrel
Face to Face,1,0011i000001xnbsAAA,2019/2020,Daflon 500
Face to Face,1,0011i000001xnbsAAA,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnbsAAA,2019/2020,Valdoxan
Face to Face,1,0011i000001xnbsAAA,2019/2020,Vastarel MR
Face to Face,1,0011i000001xnbtAAA,2019/2020,Cosyrel
Face to Face,1,0011i000001xnbtAAA,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnbtAAA,2019/2020,Vastarel XR 80
Face to Face,1,0011i000001xnbtAAA,2020/2021,Coversyl
Face to Face,1,0011i000001xnbtAAA,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnbtAAA,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnBvAAI,2019/2020,Coveram
Face to Face,1,0011i000001xnBvAAI,2020/2021,Natrilix Family
Face to Face,1,0011i000001xnbVAAQ,2019/2020,Cedraflon
Face to Face,1,0011i000001xnbVAAQ,2019/2020,Coversyl Plus
Face to Face,1,0011i000001xnbVAAQ,2019/2020,Daflon 500
Face to Face,1,0011i000001xnbVAAQ,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnBVAAY,2019/2020,Cosyrel
Face to Face,1,0011i000001xnBVAAY,2019/2020,Coveram
Face to Face,1,0011i000001xnBVAAY,2019/2020,Coversyl
Face to Face,1,0011i000001xnBVAAY,2019/2020,Coversyl Plus
Face to Face,1,0011i000001xnBwAAI,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnBwAAI,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xnbXAAQ,2019/2020,Daflon 500
Face to Face,1,0011i000001xnbXAAQ,2020/2021,Daflon 1000
Face to Face,1,0011i000001xnbXAAQ,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnbYAAQ,2019/2020,Coversyl Plus
Face to Face,1,0011i000001xnbYAAQ,2019/2020,Vastarel MR
Face to Face,1,0011i000001xnBZAAY,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xnBZAAY,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnBZAAY,2020/2021,Natrilix Family
Face to Face,1,0011i000001xnc1AAA,2019/2020,Coversyl
Face to Face,1,0011i000001xnc1AAA,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xnc2AAA,2019/2020,Cedraflon
Face to Face,1,0011i000001xnc2AAA,2019/2020,Daflon 500
Face to Face,1,0011i000001xnc2AAA,2020/2021,Coveram
Face to Face,1,0011i000001xnc2AAA,2020/2021,Coversyl
Face to Face,1,0011i000001xnc2AAA,2020/2021,Triplixam
Face to Face,1,0011i000001xnc2AAA,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xnc5AAA,2020/2021,Daflon 1000
Face to Face,1,0011i000001xnc5AAA,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnC7AAI,2019/2020,Daflon 500
Face to Face,1,0011i000001xnC7AAI,2019/2020,Vastarel MR
Face to Face,1,0011i000001xnC7AAI,2020/2021,Daflon 500
Face to Face,1,0011i000001xnC7AAI,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnCAAAY,2019/2020,Coversyl
Face to Face,1,0011i000001xnCAAAY,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnCAAAY,2020/2021,NatSR/Natrixam
Face to Face,1,0011i000001xnCbAAI,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnCbAAI,2020/2021,Natrilix Family
Face to Face,1,0011i000001xnCcAAI,2019/2020,Coversyl
Face to Face,1,0011i000001xnCCAAY,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xncdAAA,2019/2020,Coversyl Plus
Face to Face,1,0011i000001xncdAAA,2019/2020,Daflon 500
Face to Face,1,0011i000001xnCdAAI,2019/2020,Daflon 1000
Face to Face,1,0011i000001xnCdAAI,2020/2021,Coveram
Face to Face,1,0011i000001xnCdAAI,2020/2021,Triplixam
Face to Face,1,0011i000001xnCdAAI,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xnCDAAY,2019/2020,Coversyl
Face to Face,1,0011i000001xnCDAAY,2019/2020,Coversyl Plus
Face to Face,1,0011i000001xnCDAAY,2019/2020,Daflon 500
Face to Face,1,0011i000001xnCDAAY,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xnCeAAI,2019/2020,Coversyl
Face to Face,1,0011i000001xnCeAAI,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xncfAAA,2020/2021,Natrilix Family
Face to Face,1,0011i000001xncgAAA,2019/2020,Arcalion
Face to Face,1,0011i000001xncgAAA,2020/2021,Daflon 1000
Face to Face,1,0011i000001xncgAAA,2020/2021,Diamicron MR
Face to Face,1,0011i000001xncgAAA,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xncGAAQ,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xnCiAAI,2019/2020,Daflon 1000
Face to Face,1,0011i000001xnCiAAI,2019/2020,Daflon 500
Face to Face,1,0011i000001xnCJAAY,2019/2020,Vastarel XR 80
Face to Face,1,0011i000001xnCJAAY,2020/2021,Triplixam
Face to Face,1,0011i000001xnckAAA,2019/2020,Vastarel XR 80
Face to Face,1,0011i000001xncLAAQ,2019/2020,Coveram
Face to Face,1,0011i000001xncLAAQ,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xncLAAQ,2019/2020,Triplixam
Face to Face,1,0011i000001xncLAAQ,2019/2020,Vastarel XR 80
Face to Face,1,0011i000001xncMAAQ,2020/2021,Natrilix Family
Face to Face,1,0011i000001xnCnAAI,2019/2020,Coversyl Plus
Face to Face,1,0011i000001xnCnAAI,2019/2020,Daflon 1000
Face to Face,1,0011i000001xnCnAAI,2020/2021,Coveram
Face to Face,1,0011i000001xnCnAAI,2020/2021,Coversyl
Face to Face,1,0011i000001xnCnAAI,2020/2021,Triplixam
Face to Face,1,0011i000001xnCpAAI,2019/2020,Diamicron MR
Face to Face,1,0011i000001xncqAAA,2020/2021,Cosyrel
Face to Face,1,0011i000001xncqAAA,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xncSAAQ,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnCtAAI,2019/2020,Triplixam
Face to Face,1,0011i000001xnCtAAI,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnCtAAI,2020/2021,Daflon 1000
Face to Face,1,0011i000001xnCtAAI,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnCVAAY,2019/2020,Cedraflon
Face to Face,1,0011i000001xnCVAAY,2019/2020,Daflon 1000
Face to Face,1,0011i000001xnCVAAY,2019/2020,Daflon 500
Face to Face,1,0011i000001xnCVAAY,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xnCwAAI,2020/2021,Natrixam
Face to Face,1,0011i000001xncWAAQ,2020/2021,Daflon 500
Face to Face,1,0011i000001xncWAAQ,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnCxAAI,2019/2020,Coversyl Plus
Face to Face,1,0011i000001xnCxAAI,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xnczAAA,2019/2020,Cosyrel
Face to Face,1,0011i000001xnCzAAI,2019/2020,Daflon 1000
Face to Face,1,0011i000001xnCzAAI,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xnCzAAI,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnCzAAI,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnCzAAI,2020/2021,NatSR/Natrixam
Face to Face,1,0011i000001xnCzAAI,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xncZAAQ,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xncZAAQ,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnd1AAA,2019/2020,Cosyrel
Face to Face,1,0011i000001xnd1AAA,2019/2020,Vastarel MR
Face to Face,1,0011i000001xnd1AAA,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnd1AAA,2020/2021,Daflon 500
Face to Face,1,0011i000001xnd1AAA,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnD3AAI,2019/2020,Coralan
Face to Face,1,0011i000001xnD3AAI,2019/2020,Cosyrel
Face to Face,1,0011i000001xnd4AAA,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnd4AAA,2020/2021,NatSR/Natrixam
Face to Face,1,0011i000001xnD4AAI,2019/2020,Daflon 500
Face to Face,1,0011i000001xnD4AAI,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnd7AAA,2020/2021,Daflon 1000
Face to Face,1,0011i000001xnd7AAA,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnd7AAA,2020/2021,NatSR/Natrixam
Face to Face,1,0011i000001xnDaAAI,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xndAAAQ,2019/2020,Daflon 500
Face to Face,1,0011i000001xndAAAQ,2019/2020,Natrixam
Face to Face,1,0011i000001xnDAAAY,2019/2020,Daflon 500
Face to Face,1,0011i000001xnDAAAY,2019/2020,Natrixam
Face to Face,1,0011i000001xnDAAAY,2020/2021,Cosyrel
Face to Face,1,0011i000001xnDAAAY,2020/2021,Coveram
Face to Face,1,0011i000001xnDAAAY,2020/2021,Coversyl
Face to Face,1,0011i000001xnDAAAY,2020/2021,Natrilix Family
Face to Face,1,0011i000001xnDAAAY,2020/2021,Triplixam
Face to Face,1,0011i000001xnDBAAY,2020/2021,NatSR/Natrixam
Face to Face,1,0011i000001xnDCAAY,2019/2020,Coveram
Face to Face,1,0011i000001xnDCAAY,2019/2020,Coversyl
Face to Face,1,0011i000001xnDCAAY,2019/2020,Daflon 1000
Face to Face,1,0011i000001xnDCAAY,2019/2020,Triplixam
Face to Face,1,0011i000001xnDEAAY,2019/2020,Cedraflon
Face to Face,1,0011i000001xnDEAAY,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xnDfAAI,2019/2020,Cosyrel
Face to Face,1,0011i000001xnDfAAI,2019/2020,Daflon 1000
Face to Face,1,0011i000001xnDfAAI,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnDfAAI,2020/2021,Natrilix Family
Face to Face,1,0011i000001xnDFAAY,2019/2020,Cosyrel
Face to Face,1,0011i000001xnDFAAY,2019/2020,Vastarel MR
Face to Face,1,0011i000001xnDFAAY,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnDFAAY,2020/2021,Natrilix Family
Face to Face,1,0011i000001xnDIAAY,2019/2020,Daflon 500
Face to Face,1,0011i000001xnDIAAY,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnDmAAI,2020/2021,Coralan
Face to Face,1,0011i000001xnDOAAY,2020/2021,Coversyl Family
Face to Face,1,0011i000001xndPAAQ,2020/2021,Daflon 1000
Face to Face,1,0011i000001xnDQAAY,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xnDTAAY,2019/2020,Cedraflon
Face to Face,1,0011i000001xnDTAAY,2019/2020,Daflon 500
Face to Face,1,0011i000001xnDTAAY,2020/2021,Daflon 500
Face to Face,1,0011i000001xnDTAAY,2020/2021,Vastarel MR
Face to Face,1,0011i000001xnDTAAY,2020/2021,Vastarel XR 80
Face to Face,1,0011i000001xndVAAQ,2019/2020,Cedraflon
Face to Face,1,0011i000001xndVAAQ,2019/2020,Coversyl Plus
Face to Face,1,0011i000001xndVAAQ,2019/2020,Daflon 500
Face to Face,1,0011i000001xndVAAQ,2019/2020,Diamicron MR
Face to Face,1,0011i000001xndZAAQ,2019/2020,Coveram
Face to Face,1,0011i000001xndZAAQ,2019/2020,Coversyl
Face to Face,1,0011i000001xnE7AAI,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnE7AAI,2020/2021,NatSR/Natrixam
Face to Face,1,0011i000001xnEFAAY,2019/2020,Cedraflon
Face to Face,1,0011i000001xnEFAAY,2019/2020,Coversyl Plus
Face to Face,1,0011i000001xnEFAAY,2019/2020,Daflon 500
Face to Face,1,0011i000001xnEFAAY,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnEFAAY,2020/2021,Coversyl Family
Face to Face,1,0011i000001xnEFAAY,2020/2021,Daflon 1000
Face to Face,1,0011i000001xnEFAAY,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnEFAAY,2020/2021,Natrilix Family
Face to Face,1,0011i000001xnEHAAY,2020/2021,Daflon 500
Face to Face,1,0011i000001xnEoAAI,2019/2020,Coversyl Plus
Face to Face,1,0011i000001xnEoAAI,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnEpAAI,2019/2020,Coveram
Face to Face,1,0011i000001xnEpAAI,2019/2020,Coversyl
Face to Face,1,0011i000001xnEpAAI,2019/2020,Triplixam
Face to Face,1,0011i000001xnERAAY,2019/2020,Daflon 1000
Face to Face,1,0011i000001xnERAAY,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnERAAY,2020/2021,Daflon 1000
Face to Face,1,0011i000001xnERAAY,2020/2021,Diamicron MR
Face to Face,1,0011i000001xnETAAY,2019/2020,Daflon 500
Face to Face,1,0011i000001xnETAAY,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnEWAAY,2019/2020,NatSR/Natrixam
Face to Face,1,0011i000001xnF5AAI,2019/2020,Diamicron MR
Face to Face,1,0011i000001xnF7AAI,2019/2020,Cedraflon
Face to Face,1,0011i000001xnF7AAI,2019/2020,Daflon 500
Face to Face,1,0011i000001xnF7AAI,2019/2020,Vastarel MR
Face to Face,1,0011i000001xnFBAAY,2019/2020,Cosyrel
Face to Face,1,0011i000001xnFBAAY,2019/2020,Vastarel XR 80
Face to Face,1,0011i000001xnFBAAY,2020/2021,Coralan
Face to Face,1,0011i000001xnFCAAY,2019/2020,Coversyl Plus
Face to Face,1,0011i000001xnFCAAY,2019/2020,Daflon 1000
Face to Face,1,0011i000001xnFiAAI,2019/2020,Coveram
Face to Face,1,0011i000001xnFiAAI,2019/2020,Natrixam
